Date,Team,Home/Away,Opp,BO,Pos,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
4/2/2017,NYY,A,TBR,8,RF,1,0.33,0.33,0.33,0,0,1,0,0.67,0,0.33,0.33,0.67,0
4/4/2017,NYY,A,TBR,8,RF,1,0.67,0.33,0,0,0,0,0,0.33,0.33,0.33,0,0.67,0.33
4/5/2017,NYY,A,TBR,8,RF,2,0,0.67,0.33,0,0,0,0,0.67,0.33,0,0,0.33,0.67
4/7/2017,NYY,A,BAL,8,RF,1,0,1,0,0,0,0,0,1,0,0,0,1,0
4/9/2017,NYY,A,BAL,7,RF,2,0.25,0.5,0.25,0,1,0,0,0.75,0,0.25,0.25,0,0.75
4/10/2017,NYY,H,TBR,7,RF,2,0,0.67,0.33,0,1,0.5,0,0.67,0,0.33,0.33,0,0.67
4/12/2017,NYY,H,TBR,7,RF,0,0.33,0,0.67,0,0.5,0,0,0,1,0,0,0,1
4/13/2017,NYY,H,TBR,7,RF,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5
4/14/2017,NYY,H,STL,6,RF,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4/16/2017,NYY,H,STL,6,RF,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,1
4/17/2017,NYY,H,CHW,6,RF,1,0,0.5,0.5,0,1,0,0,1,0,0,0,0,1
4/18/2017,NYY,H,CHW,5,RF,2,0,1,0,0,0,0,0,1,0,0,0,1,0
4/19/2017,NYY,H,CHW,6,RF,1,0.33,0.33,0.33,0,1,0,0,0.33,0.67,0,0.33,0,0.67
4/21/2017,NYY,H,PIT,5,RF,2,0.5,0.5,0,0,0,0,0,0.75,0.25,0,0,1,0
4/22/2017,NYY,A,PIT,5,RF,0.67,0,0.4,0.6,0,0.33,0,0,0.6,0.4,0,0.2,0.4,0.4
