Date,Team,Opp,BO,Pos,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches
4/2/2017,NYY,@TBR,8,RF,1,1,1,0,1,0,0,4,7,11
4/4/2017,NYY,@TBR,8,RF,1,0,2,0,0,0,0,7,13,20
4/5/2017,NYY,@TBR,8,RF,2,1,0,0,0,0,0,5,9,14
4/7/2017,NYY,@BAL,8,RF,1,0,0,0,0,0,0,9,9,18
4/9/2017,NYY,@BAL,7,RF,2,1,1,0,0,0,0,7,11,18
4/10/2017,NYY,TBR,7,RF,2,1,0,0,1,0,0,4,9,13
4/12/2017,NYY,TBR,7,RF,0,2,1,0,0,0,0,8,7,15
4/13/2017,NYY,TBR,7,RF,2,0,0,0,0,0,0,4,8,12
4/14/2017,NYY,STL,6,RF,0,1,0,0,0,0,0,6,11,17
4/16/2017,NYY,STL,6,RF,1,1,0,0,0,0,0,10,14,24
4/17/2017,NYY,CHW,6,RF,1,1,0,0,0,0,0,10,10,20
4/18/2017,NYY,CHW,5,RF,2,0,0,0,0,0,0,7,13,20
4/19/2017,NYY,CHW,6,RF,1,1,1,0,0,0,0,7,8,15
4/21/2017,NYY,@PIT,5,RF,2,0,2,0,0,0,0,7,10,17
4/22/2017,NYY,@PIT,5,RF,2,3,0,0,0,0,0,6,15,21
4/23/2017,NYY,@PIT,5,RF,1,1,1,0,0,0,0,3,9,12
4/26/2017,NYY,@BOS,6,RF,1,1,0,0,0,0,0,6,8,14
4/27/2017,NYY,@BOS,6,RF,0,1,0,1,0,0,0,7,10,17
4/28/2017,NYY,BAL,7,RF,0,2,0,0,0,0,0,9,12,21
4/29/2017,NYY,BAL,7,RF,0,1,1,0,0,0,0,11,9,20
4/30/2017,NYY,BAL,5,RF,1,0,0,0,0,0,0,19,15,34
5/1/2017,NYY,TOR,6,RF,1,1,1,0,0,0,0,6,16,22
5/2/2017,NYY,TOR,6,RF,0,2,0,0,0,0,0,13,14,27
5/3/2017,NYY,TOR,5,RF,1,2,1,0,0,0,0,6,9,15
5/5/2017,NYY,@CHC,5,RF,1,0,1,0,0,0,0,10,11,21
