Date,Team,Opp,BO,Pos,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
4/2/2017,NYY,@TBR,8,RF,0.18,94.5,0.55,88.2,0.27,89,,,,,,,,,
4/4/2017,NYY,@TBR,8,RF,0.4,91.8,0.2,80.5,0.2,87,0.1,76.5,0.1,84.5,,,,,
4/5/2017,NYY,@TBR,8,RF,0.21,90.7,0.07,83,0.36,90,0.14,79.5,0.21,84.7,,,,,
4/7/2017,NYY,@BAL,8,RF,0.5,90.1,0.33,81.3,,,,,,,0.17,84.3,,,
4/9/2017,NYY,@BAL,7,RF,0.67,92.6,0.22,84,,,,,0.11,84.5,,,,,
4/10/2017,NYY,TBR,7,RF,0.62,92.1,0,,0.08,88,0.31,80.5,,,,,,,
4/12/2017,NYY,TBR,7,RF,0.47,94.7,0.2,85.7,0.07,91,,,0.27,85,,,,,
4/13/2017,NYY,TBR,7,RF,0.42,93.4,0,,0.25,86,0.08,81,0.25,86.7,,,,,0.33
4/14/2017,NYY,STL,6,RF,0.47,95.4,0,,0.06,90,0.12,75,0.35,87.2,,,,,
4/16/2017,NYY,STL,6,RF,0.5,91.8,0.04,85,0.08,85.5,0.13,76.7,0.17,82.5,0.08,81.5,,,
4/17/2017,NYY,CHW,6,RF,0.2,93.8,0.3,85.5,,,0.4,79.4,0.1,84,,,,,
4/18/2017,NYY,CHW,5,RF,0.55,89.7,0.2,85.3,,,0.25,78.8,,,,,,,
4/19/2017,NYY,CHW,6,RF,0.4,92.8,0.4,86,,,0.2,77.7,,,,,,,
4/21/2017,NYY,@PIT,5,RF,0.71,93.8,0.06,84,,,0.12,79,0.12,88,,,,,
4/22/2017,NYY,@PIT,5,RF,0.57,93.2,0.05,79,,,0.33,81.3,0.05,87,,,,,
4/23/2017,NYY,@PIT,5,RF,0.58,93.1,0,,,,0.08,80,0.33,85.5,,,,,
4/26/2017,NYY,@BOS,6,RF,0.64,92.7,0.14,84,,,0.21,78.7,,,,,,,
4/27/2017,NYY,@BOS,6,RF,0.35,95.3,0.59,83.1,,,,,0.06,86,,,,,
4/28/2017,NYY,BAL,7,RF,0.62,95.7,0.24,86.8,,,,,,,0.14,86.3,,,
4/29/2017,NYY,BAL,7,RF,0.7,90.8,0.15,82,,,,,0.1,81,0.05,86,,,
4/30/2017,NYY,BAL,5,RF,0.41,92.7,0.59,84.4,,,,,,,,,,,
5/1/2017,NYY,TOR,6,RF,0.55,92.5,0,,0.14,88.7,,,0.32,79.4,,,,,
5/2/2017,NYY,TOR,6,RF,0.56,93.3,0.22,83.3,0.15,88.8,,,0.07,80.5,,,,,
5/3/2017,NYY,TOR,5,RF,0.47,94.3,0.13,88,0.13,89.5,0.07,81,0.2,87.7,,,,,
5/5/2017,NYY,@CHC,5,RF,0.57,88,0.1,84.5,0.05,89,,,0.29,78,,,,,
5/6/2017,NYY,@CHC,4,RF,0.5,90.8,0.23,81.8,,,0.14,76,0.14,80.7,,,,,
5/7/2017,NYY,@CHC,5,RF,0.35,92.4,0,,0.26,86.8,0.3,79.6,0.09,85.5,,,,,
5/9/2017,NYY,@CIN,5,RF,0.69,94.3,0.13,85,,,,,0.19,84.3,,,,,
5/11/2017,NYY,HOU,5,RF,0.47,91.3,0.26,80,0.05,88,,,0.21,81.3,,,,,
5/12/2017,NYY,HOU,6,RF,0.28,95.2,0.22,84,0.22,91.5,0.22,83.8,0.06,90,,,,,
5/14/2017,NYY,HOU,5,RF,0.65,96.6,0.12,81,,,0.19,82.2,0.04,86,,,,,
5/14/2017,NYY,HOU,5,RF,0.33,89.8,0.2,81.7,0.07,85,,,0.4,82.2,,,,,0.27
5/16/2017,NYY,@KCR,5,RF,0.47,91.5,0.47,84.6,,,,,0.06,85,,,,,
5/17/2017,NYY,@KCR,5,RF,0.52,89.3,0.11,78.7,0.04,89,,,0.33,80.2,,,,,
5/18/2017,NYY,@KCR,5,RF,0.48,93.8,0.29,85.2,,,,,0.24,82.4,,,,,
5/19/2017,NYY,@TBR,5,RF,0.62,92.5,0.08,83,,,,,0.31,87,,,,,
5/20/2017,NYY,@TBR,5,DH,0.33,92,0.25,81,,,0.17,81,0.25,84.7,,,,,
5/21/2017,NYY,@TBR,5,RF,0.61,97.4,0.39,91.1,,,,,,,,,,,
5/22/2017,NYY,KCR,5,RF,0.61,87.2,0.09,80,,,,,0.3,80.1,,,,,
5/23/2017,NYY,KCR,5,RF,0.38,94.5,0.43,85.1,,,,,0.19,87,,,,,
5/24/2017,NYY,KCR,5,RF,0.17,92,0.67,82.1,,,,,0.17,86,,,,,
