Date,Team,Opp,BO,Pos,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
4/2/2017,NYY,@TBR,8,RF,0.33,0.8,0.55,0,1,0.67,0.46,0.75,0.18
4/4/2017,NYY,@TBR,8,RF,0.4,0.6,0.45,0.67,1,0.78,0.25,0.75,0.1
4/5/2017,NYY,@TBR,8,RF,0.3,0.75,0.43,0,1,0.5,0.29,0.75,0.21
4/7/2017,NYY,@BAL,8,RF,0.18,0.43,0.28,0.5,0.67,0.6,0.39,0.75,0.11
4/9/2017,NYY,@BAL,7,RF,0,0.8,0.44,,0.88,0.88,0.56,0.8,0.06
4/10/2017,NYY,TBR,7,RF,0.29,0.67,0.46,0,0.75,0.5,0.46,0.75,0.23
4/12/2017,NYY,TBR,7,RF,0,0.57,0.27,,0.75,0.75,0.47,0.5,0.07
4/13/2017,NYY,TBR,7,RF,0.33,0.67,0.5,0.5,1,0.83,0.5,0.75,0.08
4/14/2017,NYY,STL,6,RF,0.46,0.67,0.53,0.4,1,0.67,0.35,1,0.18
4/16/2017,NYY,STL,6,RF,0.31,0.63,0.42,0.6,0.8,0.7,0.33,0.5,0.13
4/17/2017,NYY,CHW,6,RF,0.14,0.67,0.3,0,1,0.67,0.3,0.25,0.1
4/18/2017,NYY,CHW,5,RF,0.36,0.33,0.35,0.75,0.67,0.71,0.45,0.5,0.1
4/19/2017,NYY,CHW,6,RF,0.14,0.5,0.33,1,1,1,0.53,0.5,0
4/21/2017,NYY,@PIT,5,RF,0,0.78,0.41,,1,1,0.53,0.2,0
4/22/2017,NYY,@PIT,5,RF,0.1,0.82,0.48,0,0.89,0.8,0.52,0.8,0.1
4/23/2017,NYY,@PIT,5,RF,0.5,0.5,0.5,0.67,1,0.83,0.5,0.75,0.08
4/26/2017,NYY,@BOS,6,RF,0.25,0.67,0.43,0.5,0.5,0.5,0.43,0.75,0.21
4/27/2017,NYY,@BOS,6,RF,0.25,0.44,0.35,0,0.5,0.33,0.53,0.75,0.24
4/28/2017,NYY,BAL,7,RF,0.36,0.71,0.48,0.4,0.8,0.6,0.33,1,0.19
4/29/2017,NYY,BAL,7,RF,0,0.44,0.2,,1,1,0.45,0.75,0
4/30/2017,NYY,BAL,5,RF,0.16,0.78,0.32,0,0.86,0.55,0.27,0.67,0.15
5/1/2017,NYY,TOR,6,RF,0.36,0.73,0.55,0.75,0.88,0.83,0.5,0.25,0.09
5/2/2017,NYY,TOR,6,RF,0.18,0.9,0.44,0.33,0.89,0.75,0.37,0.6,0.11
5/3/2017,NYY,TOR,5,RF,0.14,0.75,0.47,0,0.67,0.57,0.53,0.2,0.2
5/5/2017,NYY,@CHC,5,RF,0.27,0.3,0.29,0.67,0.67,0.67,0.48,1,0.1
5/6/2017,NYY,@CHC,4,RF,0.42,0.8,0.59,0.8,0.75,0.77,0.46,1,0.14
5/7/2017,NYY,@CHC,5,RF,0.25,0.86,0.44,0.25,0.83,0.6,0.3,0.5,0.17
5/9/2017,NYY,@CIN,5,RF,0.17,0.5,0.25,0.5,1,0.75,0.25,0.25,0.06
5/11/2017,NYY,HOU,5,RF,0.33,0.5,0.37,0.6,1,0.71,0.21,0.75,0.11
5/12/2017,NYY,HOU,6,RF,0.38,0.7,0.56,0.67,1,0.9,0.56,0.75,0.06
5/14/2017,NYY,HOU,5,RF,0.2,0.46,0.31,0,0.8,0.5,0.42,,0.15
5/14/2017,NYY,HOU,5,RF,0.6,0.6,0.6,0.83,0.67,0.78,0.33,0.5,0.13
5/16/2017,NYY,@KCR,5,RF,0,0.73,0.47,,0.88,0.88,0.65,0.4,0.06
5/17/2017,NYY,@KCR,5,RF,0.24,0.7,0.41,0.25,0.57,0.46,0.37,0.4,0.22
5/18/2017,NYY,@KCR,5,RF,0.1,0.73,0.43,0,1,0.89,0.52,0.5,0.05
5/19/2017,NYY,@TBR,5,RF,0.43,0.83,0.62,1,1,1,0.46,0.5,0
5/20/2017,NYY,@TBR,5,DH,0.5,0.83,0.67,0,1,0.63,0.5,0.75,0.25
5/21/2017,NYY,@TBR,5,RF,0.5,0.56,0.52,0.43,0.8,0.58,0.39,1,0.22
5/22/2017,NYY,KCR,5,RF,0.24,0.83,0.39,0.75,0.6,0.67,0.26,0.25,0.13
5/23/2017,NYY,KCR,5,RF,0.09,0.5,0.29,1,0.8,0.83,0.48,0.5,0.05
5/24/2017,NYY,KCR,5,RF,0.3,0.63,0.44,0.67,0.4,0.5,0.44,1,0.22
5/26/2017,NYY,OAK,5,RF,0.3,0.6,0.4,0.67,0.67,0.67,0.33,0.75,0.13
5/27/2017,NYY,OAK,5,RF,0.13,0.57,0.33,0,0.5,0.4,0.47,0.67,0.2
5/28/2017,NYY,OAK,5,RF,0.17,0.86,0.54,0,1,0.86,0.54,0.5,0.08
5/29/2017,NYY,@BAL,5,RF,0.17,0.71,0.37,0.5,0.4,0.43,0.37,0.5,0.21
5/30/2017,NYY,@BAL,5,RF,0.27,0.78,0.46,0.75,1,0.91,0.38,0.8,0.04
5/31/2017,NYY,@BAL,5,RF,0.11,0.88,0.47,0,1,0.88,0.47,0.8,0.06
6/1/2017,NYY,@TOR,3,RF,0.15,0.75,0.38,0.5,0.67,0.63,0.38,0.8,0.14
6/2/2017,NYY,@TOR,3,RF,0.25,0.57,0.35,0,1,0.5,0.3,0.4,0.17
6/3/2017,NYY,@TOR,3,RF,0.27,0.44,0.35,0.67,1,0.86,0.45,0.5,0.05
6/4/2017,NYY,@TOR,3,RF,0.29,0.67,0.4,0.5,0.75,0.63,0.3,0.5,0.15
6/6/2017,NYY,BOS,3,RF,0.2,0.86,0.41,0.33,0.67,0.56,0.32,0.6,0.18
6/7/2017,NYY,BOS,3,RF,0.33,0.75,0.53,0.33,0.67,0.56,0.47,0.4,0.24
6/8/2017,NYY,BOS,3,RF,0.33,0.63,0.45,0.75,1,0.89,0.4,0.8,0.05
6/9/2017,NYY,BAL,3,RF,0.27,0.8,0.48,0.5,0.63,0.58,0.4,0.6,0.2
6/10/2017,NYY,BAL,3,RF,0.15,1,0.48,0.5,0.75,0.7,0.38,0.2,0.14
6/11/2017,NYY,BAL,3,RF,0.18,0.67,0.4,1,0.67,0.75,0.45,0.6,0.1
6/12/2017,NYY,@LAA,3,RF,0.25,0.5,0.33,0.25,0.5,0.38,0.33,0.4,0.21
6/13/2017,NYY,@LAA,3,RF,0.1,0.57,0.38,0,0.38,0.33,0.58,0.6,0.25
6/14/2017,NYY,@LAA,3,DH,0.44,0.75,0.59,0.5,1,0.8,0.47,1,0.12
6/15/2017,NYY,@OAK,3,RF,0.29,0.71,0.42,0.4,0.6,0.5,0.29,0.67,0.21
6/16/2017,NYY,@OAK,2,RF,0.26,0.89,0.46,0.2,0.88,0.62,0.32,0.4,0.18
6/17/2017,NYY,@OAK,3,RF,0.36,0.57,0.43,0.4,0.75,0.56,0.33,1,0.19
6/18/2017,NYY,@OAK,3,RF,0.43,0.75,0.55,0.67,1,0.83,0.36,0.25,0.09
6/20/2017,NYY,LAA,3,RF,0.09,0.67,0.35,0,1,0.86,0.45,0.5,0.05
6/21/2017,NYY,LAA,3,RF,0.13,0.5,0.33,0,0.8,0.67,0.56,0.6,0.11
6/22/2017,NYY,LAA,3,RF,0.14,0.8,0.42,0,0.88,0.7,0.42,0.5,0.13
6/23/2017,NYY,TEX,3,RF,0.33,0.6,0.5,1,0.5,0.63,0.63,0.5,0.19
6/24/2017,NYY,TEX,3,RF,0.3,0.4,0.33,0.67,1,0.8,0.33,0.5,0.07
6/25/2017,NYY,TEX,3,DH,0.21,0.71,0.38,0.67,0.8,0.75,0.33,0.6,0.1
6/26/2017,NYY,@CHW,3,RF,0.12,0.5,0.22,0.5,1,0.8,0.26,0.4,0.04
6/27/2017,NYY,@CHW,3,RF,0.11,0.67,0.33,1,1,1,0.4,0.5,0
6/28/2017,NYY,@CHW,2,RF,0.12,0.67,0.31,1,0.83,0.88,0.35,0.4,0.04
6/29/2017,NYY,@CHW,2,DH,0.14,0.6,0.26,0,0.67,0.4,0.26,0.6,0.16
6/30/2017,NYY,@HOU,3,DH,0.38,0.86,0.5,0.13,1,0.5,0.25,0.83,0.25
7/1/2017,NYY,@HOU,8,PH,0,1,1,,0.33,0.33,1,1,0.67
7/2/2017,NYY,@HOU,2,RF,0.31,0.63,0.43,0.5,0.6,0.56,0.38,0.5,0.19
7/3/2017,NYY,TOR,2,RF,0.2,0.71,0.5,0,1,0.83,0.58,0.75,0.08
7/4/2017,NYY,TOR,2,DH,0.21,0.71,0.46,0.33,0.8,0.69,0.5,0.25,0.14
7/5/2017,NYY,TOR,2,RF,0.36,1,0.59,0.25,0.67,0.5,0.35,0.6,0.29
7/7/2017,NYY,MIL,3,RF,0.1,0.71,0.35,0,1,0.83,0.41,0.6,0.06
7/8/2017,NYY,MIL,2,RF,0.15,0.5,0.33,1,0.86,0.89,0.52,0.5,0.04
7/9/2017,NYY,MIL,2,RF,0.14,0.7,0.38,0,0.57,0.44,0.42,0.6,0.21
7/14/2017,NYY,@BOS,3,RF,0.33,0.5,0.39,0.4,1,0.67,0.35,0.5,0.13
7/15/2017,NYY,@BOS,3,RF,0.41,0.85,0.57,0.44,0.73,0.6,0.37,0.63,0.23
7/16/2017,NYY,@BOS,3,RF,0.38,1,0.58,0.33,1,0.71,0.33,1,0.17
7/16/2017,NYY,@BOS,3,RF,0.23,0.79,0.52,1,0.73,0.79,0.52,1,0.11
7/17/2017,NYY,@MIN,3,RF,0.46,0.86,0.61,0.2,0.67,0.46,0.39,0.5,0.33
7/18/2017,NYY,@MIN,3,RF,0.36,0.33,0.35,0.5,1,0.67,0.35,0.4,0.12
7/19/2017,NYY,@MIN,8,PH,1,1,1,0.5,1,0.67,0.33,1,0.33
7/20/2017,NYY,@SEA,3,RF,0.18,0.44,0.3,0,0.75,0.5,0.45,0.75,0.15
7/21/2017,NYY,@SEA,3,RF,0.15,0.67,0.32,1,0.75,0.83,0.32,0.5,0.05
7/22/2017,NYY,@SEA,3,RF,0.13,0.5,0.35,1,0.5,0.57,0.6,0.8,0.15
7/23/2017,NYY,@SEA,3,RF,0.23,0.71,0.4,0,0.8,0.5,0.35,0.2,0.2
7/25/2017,NYY,CIN,3,RF,0.15,0.5,0.26,1,1,1,0.32,0.25,0
7/27/2017,NYY,TBR,3,RF,0.31,0.91,0.58,0.5,0.6,0.57,0.46,0.8,0.25
7/28/2017,NYY,TBR,3,RF,0.58,0.6,0.59,0.57,1,0.7,0.29,0.75,0.18
7/29/2017,NYY,TBR,3,RF,0.29,0.63,0.41,0,0.6,0.33,0.36,0.25,0.27
