Date,Team,Home/Away,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
4/2/2017,NYY,A,TBR,8,RF,4,1,1,0,0,0,1,0,0,0,0.25,0.25,0.333,0.25,0.25,0.5,0.308,89
4/4/2017,NYY,A,TBR,8,RF,4,1,0,0,0,1,0,0,0,0,0.25,0,0.333,0.25,0.25,0.25,0.219,28
4/5/2017,NYY,A,TBR,8,RF,4,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,-100
4/7/2017,NYY,A,BAL,8,RF,4,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0.25,0,0.173,-3
4/9/2017,NYY,A,BAL,7,RF,5,2,0,0,1,2,2,0,0,0.2,0,0.75,0.333,0.5,0.6,1.25,0.71,364
4/10/2017,NYY,H,TBR,7,RF,4,2,0,0,1,1,1,0,0,0,0.25,0.75,0.5,0.5,0.5,1.25,0.714,366
4/12/2017,NYY,H,TBR,7,RF,4,2,0,0,1,2,3,0,0,0.25,0,1,0.5,0.667,0.75,1.667,0.887,485
4/13/2017,NYY,H,TBR,7,RF,4,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,-100
4/14/2017,NYY,H,STL,6,RF,4,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,-100
4/16/2017,NYY,H,STL,6,RF,4,1,0,1,0,2,1,0,0,0.25,0.25,0.667,0.5,0.333,0.5,1,0.561,262
4/17/2017,NYY,H,CHW,6,RF,4,2,0,0,1,1,3,0,0,0,0.5,0.75,1,0.5,0.5,1.25,0.714,366
4/18/2017,NYY,H,CHW,5,RF,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,-100
4/19/2017,NYY,H,CHW,6,RF,4,2,0,0,1,2,1,0,0,0.25,0,1,0.5,0.667,0.75,1.667,0.887,485
4/21/2017,NYY,H,PIT,5,RF,5,1,0,0,0,1,0,0,0,0,0.2,0,0.25,0.2,0.2,0.2,0.175,-2
4/22/2017,NYY,A,PIT,5,RF,5,2,1,0,1,2,1,0,0,0,0,0.8,0.25,0.4,0.4,1.2,0.642,317
4/23/2017,NYY,A,PIT,5,RF,4,1,0,0,0,0,0,0,0,0,0.25,0,0.333,0.25,0.25,0.25,0.219,28
4/26/2017,NYY,A,BOS,6,RF,4,1,0,0,1,2,2,0,0,0.25,0.25,1,0,0.333,0.5,1.333,0.668,335
4/27/2017,NYY,A,BOS,6,RF,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0.181,2
4/28/2017,NYY,H,BAL,7,RF,5,2,0,0,2,2,3,0,0,0.2,0.4,1.5,0,0.5,0.6,2,0.931,514
4/29/2017,NYY,H,BAL,7,RF,4,2,0,0,1,4,2,1,0,0.5,0,1.5,1,1,1,2.5,1.061,603
4/30/2017,NYY,H,BAL,5,RF,6,1,0,0,0,1,0,0,0,0.5,0.33,0,1,0.333,0.667,0.333,0.493,215
5/1/2017,NYY,H,TOR,6,RF,4,1,0,0,0,0,1,0,0,0,0.25,0,0.333,0.25,0.25,0.25,0.219,28
5/2/2017,NYY,H,TOR,6,RF,5,2,0,0,2,3,4,0,0,0.4,0.2,2,0,0.667,0.8,2.667,1.069,609
5/3/2017,NYY,H,TOR,5,RF,5,3,0,0,1,2,2,0,1,0,0.2,0.6,0.667,0.6,0.6,1.2,0.747,389
5/5/2017,NYY,A,CHC,5,RF,4,2,1,0,0,0,0,0,0,0,0.5,0.25,1,0.5,0.5,0.75,0.527,239
5/6/2017,NYY,A,CHC,4,RF,5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,-100
5/7/2017,NYY,A,CHC,5,RF,4,1,0,1,0,0,1,0,0,0,0.25,0.5,0.333,0.25,0.25,0.75,0.388,143
5/9/2017,NYY,A,CIN,5,RF,4,1,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0.333,0.5,0.333,0.392,146
5/11/2017,NYY,H,HOU,5,RF,4,0,0,0,0,0,0,1,0,0.25,0.25,0,0,0,0.25,0,0.173,-3
5/12/2017,NYY,H,HOU,6,RF,4,2,1,0,0,0,0,0,0,0,0.5,0.25,1,0.5,0.5,0.75,0.527,239
5/14/2017,NYY,H,HOU,5,RF,5,1,0,0,0,0,0,0,0,0.4,0.4,0,1,0.333,0.6,0.333,0.453,188
5/14/2017,NYY,H,HOU,5,RF,4,1,0,0,1,2,1,0,0,0.25,0.5,1,0,0.333,0.5,1.333,0.66,329
5/16/2017,NYY,A,KCR,5,RF,5,2,0,0,0,0,0,1,0,0,0.2,0,0.5,0.4,0.4,0.4,0.351,118
5/17/2017,NYY,A,KCR,5,RF,5,1,0,0,0,2,0,0,0,0.4,0.4,0,1,0.333,0.6,0.333,0.453,188
5/18/2017,NYY,A,KCR,5,RF,4,2,0,0,0,0,0,0,0,0,0.25,0,0.667,0.5,0.5,0.5,0.438,178
5/19/2017,NYY,A,TBR,5,RF,4,1,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.219,28
5/20/2017,NYY,A,TBR,5,DH,4,2,1,0,1,3,1,0,0,0,0.25,1.333,1,0.667,0.75,2,0.984,551
5/21/2017,NYY,A,TBR,5,RF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-100
5/22/2017,NYY,H,KCR,5,RF,4,0,0,0,0,1,0,0,0,0.25,0.25,0,0,0,0.25,0,0.173,-3
5/23/2017,NYY,H,KCR,5,RF,4,1,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0.333,0.5,0.333,0.392,146
5/24/2017,NYY,H,KCR,5,RF,4,1,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0.333,0.5,0.333,0.392,146
5/26/2017,NYY,H,OAK,5,RF,4,2,0,0,0,0,0,0,1,0.25,0,0,0.667,0.667,0.75,0.667,0.612,296
5/27/2017,NYY,H,OAK,5,RF,3,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,-100
5/28/2017,NYY,H,OAK,5,RF,4,2,0,0,1,1,4,0,0,0,0,0.75,0.333,0.5,0.5,1.25,0.714,366
5/29/2017,NYY,A,BAL,5,RF,4,1,0,0,1,1,1,0,0,0,0.5,0.75,0,0.25,0.25,1,0.495,217
5/30/2017,NYY,A,BAL,5,RF,5,2,1,0,0,1,2,0,0,0.2,0.2,0.25,0.667,0.5,0.6,0.75,0.56,261
