Season,HR,BB%,K%,ISO,AVG,OBP,SLG,OPS,GB/FB,HR/FB
1921,937,7.20%,7.30%,0.112,0.291,0.348,0.403,0.75,,
1922,1055,7.50%,7.20%,0.113,0.288,0.348,0.401,0.749,,
1923,980,7.90%,7.30%,0.107,0.284,0.347,0.391,0.738,,
1924,896,7.70%,7.00%,0.108,0.287,0.348,0.394,0.742,,
1925,1169,8.00%,6.90%,0.119,0.292,0.354,0.411,0.765,,
1926,863,8.10%,7.10%,0.108,0.281,0.345,0.389,0.733,,
1927,922,7.80%,7.20%,0.109,0.284,0.345,0.393,0.738,,
1928,1093,8.00%,7.40%,0.116,0.281,0.344,0.397,0.741,,
1929,1349,8.30%,7.20%,0.127,0.289,0.353,0.417,0.77,,
1930,1565,7.90%,8.20%,0.139,0.296,0.356,0.434,0.79,,
1931,1069,8.00%,8.20%,0.114,0.278,0.339,0.391,0.73,,
1932,1358,7.80%,8.20%,0.124,0.277,0.337,0.4,0.737,,
1933,1067,7.80%,7.90%,0.107,0.27,0.33,0.376,0.706,,
1934,1344,8.20%,8.80%,0.118,0.279,0.342,0.397,0.738,,
1935,1325,8.10%,8.30%,0.118,0.279,0.341,0.397,0.738,,
1936,1364,8.60%,8.40%,0.12,0.284,0.349,0.404,0.753,,
1937,1430,8.80%,9.40%,0.122,0.277,0.343,0.399,0.742,,
1938,1475,9.10%,8.70%,0.122,0.274,0.343,0.396,0.739,,
1939,1445,8.80%,8.90%,0.121,0.275,0.344,0.397,0.74,,
1940,1571,8.60%,9.40%,0.124,0.267,0.334,0.392,0.726,,
1941,1331,9.20%,9.10%,0.113,0.262,0.334,0.375,0.709,,
1942,1071,8.90%,8.90%,0.097,0.253,0.323,0.35,0.674,,
1943,905,8.80%,9.00%,0.091,0.253,0.323,0.344,0.667,,
1944,1034,8.30%,8.60%,0.098,0.26,0.326,0.358,0.684,,
1945,1007,8.80%,8.50%,0.094,0.26,0.329,0.355,0.684,,
1946,1215,9.30%,10.20%,0.104,0.256,0.328,0.36,0.688,,
1947,1565,9.70%,9.60%,0.117,0.261,0.336,0.377,0.713,,
