playerID,yearID,AB,H,2B,3B,HR,BB,SO
aardsda01,2010,0,0,0,0,0,0,0
abadfe01,2010,1,0,0,0,0,0,1
abreubo01,2010,573,146,41,1,20,87,132
abreuto01,2010,193,45,11,1,1,4,47
accarje01,2010,0,0,0,0,0,0,0
aceveal01,2010,0,0,0,0,0,0,0
acostma01,2010,0,0,0,0,0,0,0
adamsmi03,2010,0,0,0,0,0,0,0
affelje01,2010,1,0,0,0,0,0,1
albaljo01,2010,0,0,0,0,0,0,0
alberma01,2010,0,0,0,0,0,0,0
aldrico01,2010,13,1,0,1,0,0,5
alfonel01,2010,41,9,1,0,1,0,10
allenbr01,2010,45,12,3,0,1,10,20
alonsyo01,2010,29,6,2,0,0,0,10
alvarpe01,2010,347,89,21,1,16,37,119
ambrihe01,2010,0,0,0,0,0,0,0
anderbr04,2010,0,0,0,0,0,0,0
anderbr05,2010,32,9,2,0,0,1,7
anderga01,2010,155,28,6,1,2,5,34
anderla03,2010,35,7,1,0,0,7,8
andinro01,2010,61,18,4,0,2,3,13
andruel01,2010,588,156,15,3,0,64,96
ankieri01,2010,92,24,7,0,4,7,29
ankieri01,2010,119,25,6,1,2,19,42
arencjp01,2010,35,5,1,0,2,2,11
ariasjo01,2010,98,27,5,1,0,2,17
ariasjo01,2010,30,6,1,0,0,2,6
arrieja01,2010,3,0,0,0,0,1,1
arroybr01,2010,68,10,0,0,1,2,31
atchisc01,2010,0,0,0,0,0,0,0
atilalu01,2010,25,1,0,0,0,0,10
atkinga01,2010,140,30,7,0,1,12,30
atkinmi01,2010,2,0,0,0,0,0,1
ausmubr01,2010,63,14,2,0,0,7,15
avilaal01,2010,294,67,12,0,7,36,71
avilemi01,2010,424,129,16,3,8,20,49
axforjo01,2010,0,0,0,0,0,0,0
aybarer01,2010,534,135,18,4,5,35,81
aybarwi01,2010,270,62,13,0,6,30,61
badenbu01,2010,1,0,0,0,0,0,0
baezda01,2010,0,0,0,0,0,0,0
bailean01,2010,0,0,0,0,0,0,0
baileho02,2010,33,7,0,0,0,2,15
bakerje03,2010,206,56,13,2,4,16,50
bakerjo01,2010,78,17,3,1,0,9,18
bakersc02,2010,3,0,0,0,0,0,2
baldero01,2010,24,5,1,0,1,1,5
balesco01,2010,0,0,0,0,0,0,0
balfogr01,2010,0,0,0,0,0,0,0
banksjo01,2010,0,0,0,0,0,0,0
bannibr01,2010,5,1,1,0,0,0,3
barajro01,2010,249,56,11,0,12,8,39
barajro01,2010,64,19,3,0,5,5,15
bardda01,2010,0,0,0,0,0,0,0
bardebr01,2010,28,5,0,0,0,3,12
bardjo01,2010,112,24,7,0,3,10,27
barmecl01,2010,387,91,21,0,8,35,66
barneda01,2010,79,19,4,0,0,6,12
bartlja01,2010,468,119,27,3,4,45,83
bartoda02,2010,556,152,33,5,10,110,102
bassbr01,2010,1,0,0,0,0,0,0
bastaan01,2010,0,0,0,0,0,0,0
batismi01,2010,8,1,0,0,0,0,5
bautide01,2010,1,1,0,0,0,0,0
bautijo02,2010,569,148,35,3,54,100,116
baxtemi01,2010,8,1,0,0,0,0,2
bayja01,2010,348,90,20,6,6,44,91
beachbr01,2010,5,1,0,0,0,1,4
beckejo02,2010,0,0,0,0,0,0,0
beckhgo01,2010,444,112,25,2,9,37,92
beimejo01,2010,1,0,0,0,0,0,1
belisma01,2010,4,1,1,0,0,0,2
belisro01,2010,0,0,0,0,0,0,0
bellhe01,2010,1,0,0,0,0,0,0
belliro01,2010,162,35,10,1,2,18,35
belljo01,2010,159,34,5,0,3,2,53
belltr01,2010,1,0,0,0,0,0,1
beltrad01,2010,589,189,49,2,28,40,82
beltrca01,2010,220,56,11,3,7,30,39
beltrom01,2010,0,0,0,0,0,0,0
benoijo01,2010,0,0,0,0,0,0,0
bensokr01,2010,5,1,0,0,0,0,1
bergebr02,2010,3,1,0,0,0,0,0
bergju01,2010,0,0,0,0,0,0,0
bergmja01,2010,0,0,0,0,0,0,0
berkeja01,2010,0,0,0,0,0,0,0
berkmla01,2010,298,73,16,1,13,60,70
berkmla01,2010,106,27,7,0,1,17,15
bernaro01,2010,414,102,18,3,11,35,93
betanra01,2010,0,0,0,0,0,0,0
betanyu01,2010,556,144,29,2,16,23,64
betemwi01,2010,276,82,20,0,13,36,74
billich01,2010,62,9,1,0,0,4,27
bisenjo01,2010,0,0,0,0,0,0,0
blackni01,2010,1,0,0,0,0,0,0
blakeca01,2010,509,126,28,1,17,48,138
blaloha01,2010,63,16,3,0,1,6,15
blancan01,2010,166,46,10,1,0,11,24
blancgr01,2010,58,18,1,1,0,8,15
blancgr01,2010,179,49,8,3,1,21,35
blanche01,2010,130,28,5,0,2,11,26
blankky01,2010,102,16,6,1,3,15,46
blantjo01,2010,59,7,0,0,0,1,24
blevije01,2010,0,0,0,0,0,0,0
bloomwi01,2010,170,45,10,1,3,8,25
bloomwi01,2010,17,5,0,0,0,1,3
blumge01,2010,202,54,10,1,2,15,33
bococbr01,2010,5,0,0,0,0,0,3
