index,Year,R/G,HR,SO,ISO
,1921,4.85,0.38,2.83,0.112
,1922,4.87,0.43,2.81,0.113
,1923,4.81,0.4,2.85,0.107
,1924,4.76,0.36,2.7,0.107
,1925,5.13,0.48,2.71,0.119
,1926,4.64,0.35,2.75,0.108
,1927,4.75,0.37,2.79,0.109
,1928,4.73,0.44,2.88,0.116
,1929,5.19,0.55,2.84,0.128
,1930,5.55,0.63,3.21,0.138
,1931,4.81,0.43,3.19,0.113
,1932,4.91,0.55,3.19,0.123
,1933,4.48,0.44,3.04,0.106
,1934,4.91,0.55,3.45,0.118
,1935,4.9,0.54,3.26,0.118
,1936,5.19,0.55,3.33,0.12
,1937,4.87,0.58,3.63,0.122
,1938,4.89,0.6,3.41,0.122
,1939,4.82,0.59,3.45,0.122
,1940,4.68,0.64,3.66,0.125
,1941,4.49,0.53,3.55,0.113
,1942,4.08,0.44,3.4,0.097
,1943,3.91,0.37,3.45,0.091
,1944,4.17,0.42,3.3,0.098
,1945,4.18,0.41,3.27,0.095
,1946,4.01,0.49,3.9,0.104
,1947,4.36,0.63,3.68,0.116
,1948,4.58,0.63,3.64,0.119
,1949,4.61,0.69,3.61,0.121
,1950,4.85,0.84,3.86,0.136
,1951,4.55,0.75,3.77,0.125
,1952,4.18,0.69,4.19,0.117
,1953,4.61,0.84,4.12,0.133
,1954,4.38,0.78,4.13,0.129
,1955,4.48,0.9,4.38,0.135
,1956,4.45,0.93,4.64,0.139
,1957,4.31,0.89,4.84,0.133
,1958,4.28,0.91,4.95,0.136
,1959,4.38,0.91,5.09,0.135
,1960,4.31,0.86,5.18,0.133
,1961,4.53,0.95,5.23,0.141
,1962,4.46,0.93,5.42,0.135
,1963,3.95,0.84,5.8,0.126
,1964,4.04,0.85,5.91,0.128
,1965,3.99,0.83,5.94,0.126
,1966,3.99,0.85,5.82,0.127
,1967,3.77,0.71,5.99,0.115
,1968,3.42,0.61,5.89,0.103
,1969,4.07,0.8,5.77,0.121
,1970,4.34,0.88,5.75,0.131
,1971,3.89,0.74,5.41,0.116
,1972,3.69,0.68,5.57,0.11
,1973,4.21,0.8,5.24,0.122
,1974,4.12,0.68,5.01,0.112
,1975,4.21,0.7,4.98,0.116
,1976,3.99,0.58,4.83,0.106
,1977,4.47,0.87,5.16,0.137
,1978,4.1,0.7,4.77,0.121
,1979,4.46,0.82,4.77,0.132
,1980,4.29,0.73,4.8,0.123
,1981,4,0.64,4.75,0.113
,1982,4.3,0.8,5.04,0.128
,1983,4.31,0.78,5.15,0.128
,1984,4.26,0.77,5.34,0.125
,1985,4.33,0.86,5.34,0.134
,1986,4.41,0.91,5.87,0.137
,1987,4.72,1.06,5.96,0.152
,1988,4.14,0.76,5.56,0.124
,1989,4.13,0.73,5.61,0.121
,1990,4.26,0.79,5.67,0.127
,1991,4.31,0.8,5.8,0.129
,1992,4.12,0.72,5.59,0.121
,1993,4.6,0.89,5.8,0.138
,1994,4.92,1.03,6.18,0.154
,1995,4.85,1.01,6.3,0.15
,1996,5.04,1.09,6.46,0.157
,1997,4.77,1.02,6.61,0.152
,1998,4.79,1.04,6.56,0.154
,1999,5.08,1.14,6.41,0.163
,2000,5.14,1.17,6.45,0.167
,2001,4.78,1.12,6.67,0.163
,2002,4.62,1.04,6.47,0.156
,2003,4.73,1.07,6.34,0.158
,2004,4.81,1.12,6.55,0.162
,2005,4.59,1.03,6.3,0.155
,2006,4.86,1.11,6.52,0.163
,2007,4.8,1.02,6.62,0.155
,2008,4.65,1,6.77,0.152
,2009,4.61,1.04,6.91,0.156
,2010,4.38,0.95,7.06,0.146
,2011,4.28,0.94,7.1,0.144
,2012,4.32,1.02,7.5,0.15
,2013,4.17,0.96,7.55,0.143
,2014,4.07,0.86,7.7,0.135
,2015,4.25,1.01,7.71,0.151
,2016,4.48,1.16,8.03,0.162
,2017,4.65,1.26,8.25,0.171
,2018,4.45,1.15,8.48,0.161
,2019,4.83,1.39,8.81,0.183
